name,age,gender,relationship_status,region,hair_colour,eye_colour,height(cm)
Aubrey Baldwin,35,M,Divorced,Oceania,Blonde,Brown,177
Ben Stallard,70,M,Married,Oceania,Black,Green,177
Beth Gosling,16,F,Single,South America,Red,Grey,172
Alex Hufford,94,M,Single,South America,Red,Grey,175
Jade Marsden,33,F,Married,Asia,Grey,Green,188
Aubrey Gosling,48,M,Married,Africa,Black,Green,182
John Beneke,31,M,Single,Europe,Grey,Blue,170
Ella Mcgill,25,F,Single,Europe,Bald,Brown,146
Taylor James,113,F,Married,Oceania,Bald,Brown,154
Stan Hinch,97,M,Married,Asia,Red,Blue,164
Kyle Nguyen,17,M,Divorced,Oceania,Blonde,Grey,176
Eric James,58,M,Divorced,South America,Black,Blue,189
Jeff Lee,97,/,Single,Africa,Black,Green,167
Anthony Baldwin,92,M,Divorced,Africa,Black,Green,184
Beth Baldwin,63,F,Single,North America,Grey,Grey,177
Julie Caine,101,F,Single,Asia,Bald,Grey,145
Jess Walker,71,F,Single,North America,Red,Grey,162
Stan Mcgill,89,M,Single,Africa,Grey,Blue,179
Alexa Brown,36,F,Divorced,North America,Blonde,Green,146
Ryan James,46,M,Divorced,South America,Bald,Green,168
John Hufford,26,M,Married,Oceania,Black,Brown,193
Sylvia Lee,54,F,Married,Europe,Bald,Brown,151
Hayley Firth,110,F,Divorced,South America,Grey,Green,142
Ryan Nguyen,101,M,Single,South America,Blonde,Brown,194
John Anderson,70,M,Single,North America,Blonde,Blue,163
Steven Nguyen,45,M,Divorced,Africa,Black,Blue,175
Jade Beneke,92,F,Single,Oceania,Blonde,Brown,150
David Arnold,52,M,Married,South America,Blonde,Grey,189
Steven Potts,42,M,Married,Asia,Grey,Blue,177
Ben Anderson,61,M,Married,Oceania,Bald,Grey,167
Hayley Firth,99,F,Single,North America,Blonde,Green,143
Stan Stallard,77,M,Divorced,North America,Black,Grey,190
Ethan Smith,67,M,Single,Africa,Black,Brown,185
Allison Hinch,57,F,Single,Europe,Black,Brown,187
Ben Pinkman,83,M,Single,Oceania,Red,Grey,174
Jade Lee,100,F,Single,Europe,Red,Brown,150
Julie Anderson,25,F,Married,Europe,Bald,Green,174
Anthony Gosling,57,M,Single,Oceania,Blonde,Blue,166
Anthony Beneke,63,M,Married,Oceania,Grey,Blue,179
Aubrey Marsden,109,M,Single,Europe,Grey,Grey,162
Alex Gosling,28,M,Married,Africa,Black,Grey,188
Ethan Hinch,65,M,Divorced,North America,Blonde,Grey,169
Ryan Firth,45,M,Married,Asia,Black,Brown,178
Kyra Walker,105,F,Married,Oceania,Bald,Blue,179
Luke Anderson,74,M,Single,Asia,Black,Green,160
Stan Firth,72,M,Divorced,Oceania,Red,Grey,159
Alex Hufford,63,M,Divorced,North America,Blonde,Brown,181
Hollie Lee,37,F,Divorced,Asia,Black,Green,159
Eric James,24,M,Married,North America,Red,Grey,194
James Firth,96,M,Married,South America,Bald,Green,163
Ken Walker,36,M,Single,North America,Bald,Green,181
Eric Pinkman,67,M,Single,Africa,Black,Brown,194
Elisa Jacques,98,F,Married,Oceania,Black,Blue,173
Karen Lee,85,F,Single,Asia,Bald,Grey,184
Ken Walker,25,M,Divorced,North America,Red,Green,193
Daniel Walker,18,M,Married,Europe,Grey,Blue,181
Kyle Jacques,96,M,Married,Oceania,Grey,Blue,162
Allison Daniels,46,F,Married,North America,Grey,Grey,179
Anthony Hinch,57,M,Married,Oceania,Bald,Blue,195
Julie White,50,F,Married,Africa,Black,Blue,143
Ryan Gosling,66,M,Divorced,South America,Black,Brown,196
Eric Mcgill,114,M,Married,Europe,Black,Brown,166
Steven Hufford,27,M,Single,Europe,Red,Brown,158
Luke White,33,M,Single,Africa,Bald,Grey,174
Rebecca Anderson,24,F,Divorced,Europe,Grey,Grey,156
Ethan Marsden,92,M,Single,North America,Black,Brown,182
Julie Clark,86,F,Married,North America,Grey,Blue,170
James Pinkman,48,M,Married,North America,Grey,Grey,181
Ryan Caine,92,M,Divorced,Asia,Black,Brown,186
Jess Baldwin,35,F,Single,Oceania,Blonde,Green,145
Jade James,101,F,Single,North America,Bald,Grey,170
Jackie Arnold,69,F,Single,North America,Grey,Blue,158
Allison Mcgill,104,F,Single,Europe,Black,Blue,175
Ryan Walker,91,M,Married,Africa,Blonde,Grey,163
Ken White,113,M,Divorced,Oceania,Grey,Green,174
Lucille Mcgill,85,F,Divorced,North America,Blonde,Blue,176
Daniel Shipman,53,M,Single,Oceania,Blonde,Brown,181
Ben Potts,113,M,Divorced,Asia,Grey,Grey,157
Kyra Potts,82,F,Divorced,Europe,Black,Grey,168
Allison Nguyen,51,F,Single,South America,Blonde,Green,145
Eric Potts,66,M,Married,Oceania,Grey,Green,173
Jess Baldwin,98,F,Single,South America,Black,Green,179
James Caine,75,M,Married,Oceania,Black,Green,175
Alex Arnold,88,M,Married,South America,Blonde,Brown,159
Fiona James,16,F,Single,Europe,Grey,Brown,147
Betty Marsden,101,F,Divorced,Asia,Grey,Blue,151
Fiona Daniels,26,F,Divorced,Oceania,Grey,Green,174
Jackie Jacques,82,F,Single,South America,Red,Grey,151
Ella Brown,33,F,Divorced,North America,Black,Brown,186
Karen Marsden,34,F,Divorced,Europe,Bald,Blue,150
Jackie Lee,84,F,Married,Europe,Red,Blue,186
Julie Smith,23,F,Single,South America,Grey,Brown,151
Hollie Walker,73,F,Divorced,South America,Red,Blue,171
Laura Potts,65,F,Single,Asia,Grey,Green,187
Hollie Potts,48,F,Divorced,Europe,Black,Blue,142
Luke Clark,83,M,Single,Africa,Black,Blue,186
Jenny Anderson,26,F,Single,Asia,Grey,Green,177
Luke Firth,77,M,Single,North America,Red,Green,165
Julie Anderson,96,F,Divorced,South America,Black,Green,183
Lee James,42,M,Single,Asia,Grey,Green,172
Jeff White,58,M,Single,Oceania,Blonde,Grey,182
Adam Hufford,54,M,Divorced,Europe,Blonde,Grey,195
Ronald Gosling,45,M,Single,Europe,Blonde,Blue,172
Hayley Baldwin,98,F,Single,Asia,Grey,Blue,157
Eric Brown,77,M,Married,Asia,Bald,Green,179
Alexa Walker,21,F,Married,Oceania,Grey,Brown,149
Sylvia Shipman,103,F,Married,South America,Red,Green,187
Lee Clark,91,M,Single,Europe,Grey,Brown,168
Jade Beneke,89,F,Married,Asia,Bald,Brown,157
Laura Brown,94,F,Married,Asia,Red,Grey,163
Jade Gosling,66,F,Single,Europe,Red,Blue,143
Hayley James,37,F,Married,Africa,Blonde,Green,180
Taylor Firth,87,F,Divorced,South America,Black,Blue,182
Laura Daniels,95,F,Married,Europe,Grey,Green,181
Ken James,39,M,Single,North America,Bald,Grey,195
Hollie Stallard,41,F,Divorced,Africa,Blonde,Brown,157
Lucille Clark,95,F,Married,South America,Grey,Green,162
Jenny Walker,85,F,Single,Europe,Bald,Grey,161
Jeff Smith,33,M,Divorced,Asia,Black,Brown,162
Hayley Walker,108,F,Married,Asia,Red,Brown,151
Leo Baldwin,39,M,Married,South America,Blonde,Blue,196
James Nguyen,61,/,Married,Europe,Grey,Green,145
Julie Hufford,54,F,Single,Europe,Bald,Green,187
Lewis Clark,96,M,Single,North America,Black,Grey,175
Beth Arnold,92,F,Single,Asia,Red,Grey,175
Fiona Shipman,96,F,Single,Europe,Red,Brown,172
Steven Caine,53,M,Divorced,Africa,Grey,Grey,189
Fiona Walker,20,F,Single,Europe,Red,Grey,160
Alex Hufford,19,M,Divorced,Africa,Red,Green,194
Jenny Mcgill,56,F,Single,Africa,Blonde,Green,147
Robert Brown,49,M,Single,Oceania,Grey,Blue,160
Rebecca Jacques,20,F,Divorced,South America,Bald,Grey,170
Phoebe Potts,17,F,Single,Asia,Bald,Blue,158
Taylor Jacques,56,F,Single,Africa,Blonde,Grey,155
Allison Baldwin,47,F,Married,North America,Black,Brown,161
Daniel Brown,26,M,Married,Asia,Bald,Grey,179
Rebecca Caine,83,F,Divorced,Africa,Grey,Blue,186
Jane Hinch,40,F,Divorced,South America,Grey,Grey,187
Aubrey Nguyen,66,M,Married,Asia,Black,Grey,187
Kenny Anderson,82,M,Married,Oceania,Grey,Brown,159
Daniel Lee,54,M,Divorced,South America,Grey,Grey,167
Karen Pinkman,82,F,Divorced,Europe,Black,Brown,162
Alexa Gosling,101,F,Married,South America,Red,Brown,155
Karen Baldwin,107,F,Divorced,South America,Red,Blue,149
Fiona Baldwin,69,F,Single,Europe,Bald,Grey,183
Aubrey Gosling,101,M,Married,North America,Grey,Blue,186
Lee James,47,M,Single,Oceania,Blonde,Green,180
Eric Arnold,57,M,Married,Europe,Red,Blue,178
Ryan Anderson,44,M,Divorced,Africa,Bald,Green,166
Steven Mcgill,91,M,Divorced,North America,Red,Blue,158
Adam Nguyen,100,M,Single,South America,Red,Blue,188
John Firth,61,M,Single,Africa,Grey,Green,168
Adam Daniels,112,M,Divorced,South America,Blonde,Brown,171
Anthony Shipman,94,M,Single,North America,Bald,Green,178
Ethan Brown,28,M,Divorced,Oceania,Grey,Blue,162
Adam Caine,54,M,Divorced,North America,Red,Brown,192
Aubrey Brown,107,M,Divorced,Africa,Red,Blue,179
Eric Lee,27,M,Married,North America,Red,Blue,163
Robert Walker,109,M,Single,Europe,Grey,Brown,163
Alexa White,77,F,Married,Africa,Grey,Grey,170
Ethan Hinch,31,M,Single,Oceania,Bald,Brown,178
Ethan Smith,104,M,Married,North America,Red,Grey,195
Phoebe Stallard,110,F,Divorced,Africa,Grey,Grey,164
Hollie Lee,66,F,Married,South America,Grey,Grey,169
Phoebe Shipman,67,F,Single,Africa,Bald,Brown,174
Elisa Pinkman,80,F,Divorced,Europe,Black,Grey,149
Lucille Brown,44,F,Divorced,South America,Red,Green,168
Jade James,111,F,Divorced,Oceania,Bald,Blue,180
Robert Lee,19,M,Single,Asia,Grey,Green,174
Adam Smith,81,M,Single,Asia,Grey,Blue,173
Leo Clark,97,M,Married,Europe,Black,Blue,168
Allison Walker,64,F,Divorced,Europe,Grey,Green,188
Allison Mcgill,34,F,Single,Asia,Red,Blue,146
Ken Firth,48,M,Divorced,Asia,Grey,Grey,174
Lee Pinkman,67,M,Married,North America,Bald,Brown,189
Aubrey Mcgill,81,M,Divorced,Oceania,Bald,Brown,189
Anthony Hufford,61,M,Single,Oceania,Grey,Green,165
Beth Hinch,97,F,Married,South America,Black,Brown,169
Allison Arnold,73,F,Divorced,South America,Grey,Blue,155
Betty Walker,85,F,Single,Europe,Grey,Grey,152
Reena Stallard,38,F,Single,Europe,Black,Brown,162
Jenny Marsden,18,F,Divorced,Europe,Red,Grey,150
Laura Marsden,76,F,Single,Asia,Grey,Green,159
Elisa Firth,64,F,Married,North America,Black,Blue,150
Elisa Arnold,49,F,Divorced,Europe,Blonde,Blue,158
Reena Potts,93,F,Married,North America,Red,Brown,153
Lucille Anderson,17,F,Married,North America,Red,Grey,162
Hayley Arnold,51,F,Married,North America,Blonde,Grey,185
Phoebe Hinch,22,F,Divorced,South America,Bald,Green,145
Lewis Gosling,95,M,Single,South America,Blonde,Grey,175
Jess Firth,31,F,Single,Asia,Black,Brown,163
Eric Smith,39,/,Single,Africa,Bald,Grey,179
Rebecca Jacques,16,F,Married,Europe,Bald,Green,181
Jeff Daniels,91,M,Married,North America,Bald,Green,178
Karen Daniels,75,F,Single,Africa,Black,Grey,142
Phoebe Walker,55,F,Married,North America,Blonde,Grey,154
Lucille Pinkman,55,F,Single,Africa,Grey,Blue,172
Karen Lee,69,F,Married,South America,Blonde,Green,178
Ella Walker,94,F,Married,South America,Red,Grey,182
Kenny Baldwin,48,M,Married,Africa,Red,Blue,164
Ken Hufford,18,M,Married,Europe,Grey,Brown,185
Ben Baldwin,91,M,Married,North America,Grey,Green,195
Kyra Marsden,93,F,Married,Europe,Bald,Green,151
Julie Brown,104,F,Married,Oceania,Grey,Brown,164
Karen Marsden,20,F,Married,Asia,Bald,Brown,149
Elisa Mcgill,50,F,Single,Asia,Bald,Green,172
Lewis Potts,59,M,Single,South America,Black,Green,167
David Beneke,55,M,Divorced,Oceania,Grey,Grey,168
Ken Pinkman,85,M,Divorced,North America,Black,Blue,177
Alex Potts,50,M,Divorced,Europe,Red,Grey,184
Steven Firth,97,M,Single,North America,Grey,Blue,163
Lucille Walker,18,F,Single,Africa,Red,Blue,176
Ryan Jacques,51,M,Single,South America,Black,Blue,195
Hollie Beneke,64,F,Single,South America,Grey,Blue,145
Kyra Walker,110,F,Single,South America,Black,Brown,162
Hollie Baldwin,52,F,Married,Oceania,Bald,Grey,156
James Brown,50,M,Married,Africa,Blonde,Grey,172
Lisa Pinkman,29,F,Single,Asia,Black,Blue,164
Allison Lee,57,F,Divorced,Asia,Black,Grey,147
Ben Walker,116,M,Married,North America,Grey,Green,177
Sylvia Walker,66,F,Married,Europe,Grey,Brown,147
David Jacques,100,M,Single,Oceania,Bald,Brown,190
Jeff Stallard,34,M,Married,South America,Red,Grey,163
Beth Marsden,62,F,Single,Oceania,Bald,Green,166
Matthew Lee,62,M,Married,Oceania,Red,Blue,157
Jeff Smith,78,M,Single,Oceania,Black,Blue,159
Jeff Caine,49,M,Single,Europe,Bald,Blue,160
Phoebe Baldwin,80,F,Married,Europe,Red,Green,162
Betty Potts,30,F,Divorced,South America,Bald,Brown,149
Matthew Stallard,32,M,Married,Asia,Grey,Grey,162
Ben Beneke,109,M,Married,Oceania,Grey,Brown,165
Aubrey Beneke,38,M,Divorced,South America,Grey,Green,194
Ethan Brown,34,M,Married,Europe,Red,Grey,186
Ken Hinch,32,M,Divorced,South America,Black,Grey,189
Karen Brown,99,F,Married,Oceania,Black,Brown,187
Kyra Potts,96,F,Divorced,Europe,Grey,Green,144
Betty Mcgill,65,F,Single,Africa,Red,Green,144
Kyle Marsden,30,M,Single,Europe,Bald,Brown,179
Jackie Potts,88,F,Single,Asia,Black,Brown,151
John Clark,92,M,Married,Europe,Grey,Green,162
Ronald Marsden,108,M,Married,Europe,Grey,Brown,176
Ken Gosling,54,M,Married,North America,Blonde,Grey,184
Ken Hinch,74,M,Single,Asia,Red,Brown,188
Jenny Smith,79,F,Divorced,Africa,Grey,Blue,183
Karen Arnold,39,F,Single,North America,Blonde,Blue,167
Kyle Stallard,81,M,Single,Europe,Blonde,Green,176
Betty Brown,22,F,Single,North America,Black,Grey,145
Jenny White,25,F,Married,North America,Red,Blue,153
Phoebe Potts,52,F,Single,North America,Blonde,Blue,146
Karen Marsden,58,F,Married,Oceania,Blonde,Green,174
Sylvia Anderson,101,F,Single,Oceania,Grey,Grey,149
Allison Hinch,64,F,Married,South America,Black,Brown,173
Lisa Stallard,59,F,Divorced,North America,Bald,Green,166
Lucille Arnold,74,F,Divorced,Asia,Grey,Blue,164
Ethan Firth,40,M,Single,Asia,Grey,Grey,196
Jess Shipman,55,F,Married,North America,Bald,Blue,182
Ben Jacques,20,M,Single,South America,Bald,Blue,172
Jess Hufford,85,F,Married,Europe,Black,Brown,142
Jenny Lee,36,F,Single,South America,Blonde,Brown,147
Julie Hinch,19,F,Divorced,Oceania,Blonde,Blue,148
Beth Potts,46,F,Married,Oceania,Bald,Brown,174
Leo Marsden,82,M,Divorced,Asia,Blonde,Green,160
Ryan Walker,71,M,Single,Europe,Red,Brown,195
Alex Caine,20,M,Single,North America,Bald,Brown,164
Ronald Jacques,116,M,Divorced,Europe,Bald,Blue,183
Lucille Arnold,22,F,Divorced,Europe,Red,Grey,174
Lee Firth,98,M,Married,Oceania,Grey,Green,160
Jackie Smith,78,F,Single,South America,Grey,Green,177
Jeff Pinkman,104,M,Single,South America,Bald,Green,157
Julie Anderson,97,F,Divorced,Asia,Black,Grey,165
Leo Stallard,78,M,Divorced,North America,Blonde,Green,177
Alexa Beneke,67,F,Married,Oceania,Red,Grey,184
David Stallard,68,/,Married,South America,Bald,Brown,176
Ben Nguyen,17,M,Married,North America,Bald,Brown,177
Jade Shipman,99,F,Married,Oceania,Blonde,Grey,158
Phoebe Clark,57,F,Married,Africa,Grey,Green,159
Adam Brown,90,M,Married,Asia,Bald,Grey,191
Lucille Pinkman,48,F,Divorced,North America,Blonde,Blue,177
Jane Mcgill,63,F,Divorced,South America,Black,Green,187
Hayley Caine,65,F,Single,North America,Grey,Blue,142
Hayley Anderson,61,F,Single,Europe,Grey,Blue,151
Aubrey Daniels,52,M,Divorced,Oceania,Blonde,Brown,165
Matthew Anderson,114,M,Single,Africa,Black,Blue,173
Lewis Caine,95,M,Married,Oceania,Grey,Grey,196
Sylvia Baldwin,98,F,Married,South America,Bald,Blue,164
Hayley Smith,93,F,Married,Europe,Blonde,Grey,172
Beth Lee,74,F,Divorced,North America,Blonde,Green,175
Elisa Firth,52,F,Single,Africa,Grey,Brown,142
Betty Arnold,96,F,Married,North America,Black,Green,160
Ethan Beneke,35,M,Married,South America,Black,Green,174
Jackie Gosling,49,F,Married,Europe,Bald,Grey,159
James Shipman,20,M,Divorced,Oceania,Grey,Grey,194
Jenny Mcgill,96,F,Married,Asia,Grey,Blue,176
Reena Nguyen,62,F,Single,Europe,Red,Blue,183
Jenny Arnold,63,F,Divorced,Asia,Bald,Blue,144
Ben Clark,69,M,Single,South America,Bald,Green,193
Leo Smith,88,M,Divorced,Asia,Grey,Green,194
Karen Lee,54,F,Divorced,Asia,Bald,Blue,159
Beth Pinkman,37,F,Divorced,South America,Bald,Grey,182
Kyle Firth,95,M,Divorced,Europe,Blonde,Grey,195
Allison Firth,46,F,Divorced,Oceania,Red,Brown,188
Alex Clark,64,M,Married,South America,Black,Brown,175
Lucille Brown,47,F,Divorced,Africa,Bald,Green,156
Jackie Mcgill,43,F,Single,Asia,Black,Grey,170
Lee James,20,M,Single,North America,Bald,Brown,188
Luke Clark,99,M,Single,Africa,Blonde,Blue,179
Jane Jacques,78,F,Divorced,North America,Bald,Blue,152
Lee Hufford,43,M,Married,North America,Blonde,Blue,189
Aubrey Hufford,26,M,Single,North America,Bald,Blue,181
Kyra Potts,19,F,Married,Africa,Bald,Green,170
Lucille Mcgill,114,F,Single,Oceania,Black,Green,179
Ryan Caine,19,M,Married,North America,Black,Grey,183
Julie Pinkman,60,F,Divorced,Africa,Bald,Green,177
Jess Caine,58,F,Single,Asia,Grey,Brown,165
Aubrey Stallard,84,M,Divorced,Asia,Blonde,Grey,192
Betty Brown,108,F,Single,North America,Blonde,Grey,186
James Firth,50,M,Divorced,Europe,Bald,Green,162
Luke Smith,74,M,Married,South America,Bald,Green,187
Lucille Gosling,28,F,Married,South America,Bald,Grey,147
Phoebe Lee,35,F,Single,Asia,Grey,Green,153
Aubrey Daniels,70,M,Married,Europe,Red,Green,181
Kenny Walker,34,M,Single,Africa,Black,Brown,179
Eric Hufford,54,M,Divorced,Oceania,Bald,Green,159
Lisa Clark,103,F,Married,Asia,Blonde,Green,157
John Jacques,60,M,Married,Oceania,Blonde,Blue,184
Jackie Clark,64,F,Single,South America,Bald,Brown,158
Taylor Marsden,69,F,Single,Europe,Bald,Blue,172
Jade Walker,77,F,Single,Asia,Blonde,Green,178
Ronald Mcgill,110,M,Married,Oceania,Red,Blue,178
Beth Shipman,27,F,Divorced,North America,Red,Grey,158
Ella Daniels,76,F,Divorced,South America,Red,Green,164
Jade Clark,36,F,Single,Africa,Red,Green,181
Robert Hinch,111,M,Single,South America,Grey,Blue,193
Ben Brown,16,M,Single,North America,Blonde,Grey,176
Beth Anderson,94,F,Married,North America,Black,Brown,187
Hollie Hufford,54,F,Married,Europe,Red,Green,150
Fiona Clark,76,F,Single,Oceania,Black,Blue,179
Taylor Jacques,115,F,Divorced,Oceania,Red,Blue,161
Rebecca Arnold,31,F,Divorced,Asia,Red,Brown,164
Lisa Gosling,55,F,Single,North America,Bald,Blue,186
Karen Arnold,114,F,Divorced,North America,Grey,Brown,159
Eric Beneke,77,M,Divorced,South America,Blonde,Brown,158
Ella Gosling,53,F,Single,North America,Bald,Brown,172
Sylvia Daniels,28,F,Single,Europe,Grey,Blue,178
Lucille Pinkman,33,F,Single,Africa,Blonde,Brown,178
Leo Anderson,36,M,Divorced,Oceania,Bald,Brown,174
Ella Lee,90,F,Married,North America,Grey,Green,159
Kenny Smith,57,M,Divorced,Oceania,Red,Brown,193
Kyle Firth,103,M,Single,Africa,Black,Grey,168
Anthony Potts,106,M,Divorced,South America,Black,Brown,189
Phoebe Daniels,20,F,Married,North America,Bald,Brown,143
Jackie White,113,F,Divorced,South America,Black,Brown,159
Rebecca Jacques,46,F,Married,Asia,Bald,Blue,166
Jeff White,111,M,Divorced,South America,Grey,Brown,168
Kenny Baldwin,75,M,Married,North America,Red,Blue,182
Ronald Marsden,17,M,Married,South America,Blonde,Brown,194
Jade Pinkman,50,F,Divorced,North America,Bald,Grey,147
Laura Baldwin,115,F,Married,Europe,Red,Blue,153
Rebecca Pinkman,60,F,Single,Africa,Black,Brown,168
Julie Smith,84,F,Single,Oceania,Bald,Grey,186
Allison Lee,108,F,Divorced,North America,Grey,Brown,176
Steven Lee,103,M,Married,Europe,Black,Blue,190
Beth Smith,19,F,Divorced,South America,Blonde,Grey,162
Ben Jacques,104,M,Divorced,South America,Blonde,Blue,189
David Hufford,70,M,Divorced,Asia,Bald,Grey,161
Fiona Anderson,26,F,Married,Asia,Grey,Green,161
Lucille Arnold,18,F,Married,Oceania,Black,Brown,172
Ken Pinkman,69,M,Single,Asia,Red,Blue,177
Lucille Firth,113,F,Single,Asia,Black,Green,148
Kenny Mcgill,28,M,Divorced,Asia,Bald,Grey,185
Phoebe Lee,107,F,Divorced,Asia,Red,Grey,144
Jackie Arnold,26,F,Single,Asia,Black,Grey,183
Adam Brown,56,M,Divorced,Europe,Grey,Blue,157
Aubrey Stallard,61,M,Married,Africa,Blonde,Brown,195
Taylor Lee,34,F,Divorced,North America,Red,Grey,183
Aubrey Hinch,21,M,Divorced,Oceania,Blonde,Blue,163
James Nguyen,86,M,Single,North America,Black,Brown,158
Ken Brown,110,M,Single,South America,Grey,Grey,172
Steven Jacques,25,M,Married,Asia,Black,Grey,185
Ronald Shipman,79,M,Single,North America,Grey,Grey,168
Betty Jacques,50,F,Married,Asia,Bald,Brown,158
Alexa Walker,29,F,Married,South America,Blonde,Blue,186
James Hinch,59,M,Divorced,South America,Black,Brown,189
Ella Nguyen,60,F,Married,South America,Red,Green,178
John Clark,99,M,Single,Europe,Red,Green,160
Kenny Hufford,91,M,Divorced,Africa,Blonde,Brown,190
Kenny Nguyen,104,M,Married,North America,Red,Blue,190
Kenny Stallard,37,M,Single,Oceania,Bald,Grey,190
Kyle Shipman,113,M,Single,Oceania,Bald,Green,175
Leo Mcgill,69,M,Married,South America,Black,Brown,189
Ben Clark,49,M,Single,Asia,Bald,Grey,158
Beth Shipman,23,F,Married,Africa,Grey,Blue,178
Betty Gosling,44,F,Married,Africa,Blonde,Blue,186
Anthony White,20,M,Married,Oceania,Grey,Brown,188
David Walker,115,M,Married,Oceania,Bald,Green,161
Betty Marsden,20,F,Divorced,North America,Grey,Brown,162
Eric Jacques,97,M,Single,Oceania,Blonde,Grey,169
Aubrey James,113,M,Married,Africa,Red,Blue,162
Ken Smith,63,M,Divorced,Oceania,Grey,Green,162
John Nguyen,53,M,Married,Africa,Bald,Brown,172
Anthony Hufford,55,/,Divorced,Oceania,Black,Green,147
Kenny Clark,56,M,Single,Europe,Blonde,Blue,189
